Species	Metabolite	r	P	P.adjust
Clostridium bolteae	lactate	-0.5064687675326104	0.0002807984148281	0.0310719141599726
Clostridium bolteae	valine	-0.5059459160864308	0.0002855874463232	0.0310719141599726
Faecalibacterium prausnitzii	C16 carnitine	-0.503822761018224	0.0003058030733974	0.0322003368544493
Roseburia hominis	C14:2 carnitine	-0.5022939187897464	0.0003211518786974	0.0322003368544493
Parabacteroides unclassified	propionate	0.5019957755574771	0.0003242249915982	0.0322003368544493
Roseburia hominis	trimethylbenzene	0.5018064476704457	0.0003261902625135	0.0322003368544493
Faecalibacterium prausnitzii	C16-OH carnitine	-0.5010468914436988	0.000334183348798	0.0322003368544493
Clostridium asparagiforme	taurolithocholate	0.5008281312427356	0.0003365180419894	0.0322003368544493
Clostridium symbiosum	tetrahydro-1-methyl-beta-carboline-3-carboxylate	0.500520187167058	0.0003398295169065	0.0322003368544493
Roseburia hominis	citrulline	-0.5001992135392078	0.0003433124149922	0.0322003368544493
Clostridium symbiosum	1.2.3.4-tetrahydro-beta-carboline-1.3-dicarboxylate	0.4987926334359746	0.0003589587159269	0.0330972104176712
Clostridium asparagiforme	C46:3 TAG	0.4979901280631334	0.0003681712817367	0.0333808628774624
Clostridium symbiosum	C18:2 carnitine	-0.4950454686770604	0.0004038327474741	0.0337387111016493
Parabacteroides unclassified	pantothenate	0.4947337408758165	0.0004077847048	0.0337387111016493
Dorea longicatena	NH4_C50:5 TAG	0.494232283776542	0.0004142152172377	0.0337387111016493
Roseburia hominis	C18:1-OH carnitine	-0.4940560071909458	0.000416497362428	0.0337387111016493
Clostridium asparagiforme	21-deoxycortisol	-0.4939799162487649	0.0004174859646055	0.0337387111016493
Faecalibacterium prausnitzii	arachidonate	-0.4939779484466035	0.0004175115590818	0.0337387111016493
Clostridium symbiosum	C20:4 carnitine	0.4936977317034033	0.0004211707170136	0.0337387111016493
Clostridium symbiosum	2-aminobutyrate	-0.4930817109578223	0.0004293167787149	0.0337387111016493
Parabacteroides unclassified	alpha-glycerophosphate	0.492851099657036	0.0004324026697939	0.0337387111016493
Clostridium asparagiforme	4-hydroxy-3-methylacetophenone	-0.4927220808417091	0.0004341378266756	0.0337387111016493
Faecalibacterium prausnitzii	threosphingosine	-0.4909665940129313	0.0004583791083098	0.0351208781578267
Clostridium asparagiforme	histidinol	-0.4903461695172703	0.0004672338993146	0.0353021168371055
Faecalibacterium prausnitzii	1.2.3.4-tetrahydro-beta-carboline-1.3-dicarboxylate	0.4878958387047669	0.000503731500457	0.0367119202969699
Eubacterium hallii	glutamate	-0.4874324748287705	0.0005109150779768	0.0367119202969699
Faecalibacterium prausnitzii	palmitoylethanolamide	-0.487376132957399	0.000511794810897	0.0367119202969699
Clostridium symbiosum	C14 carnitine	-0.4873062978849494	0.0005128871217959	0.0367119202969699
Eubacterium hallii	C14:2 carnitine	-0.485467124791709	0.000542420296796	0.0375655321349738
Clostridium asparagiforme	N-acetylglutamate	-0.4853148278890469	0.000544933143264	0.0375655321349738
Roseburia inulinivorans	alpha-glycerophosphocholine	-0.4851014572900868	0.0005484713009191	0.0375655321349738
Faecalibacterium prausnitzii	diacetylspermine	-0.484248957199355	0.0005628148089158	0.0375655321349738
Clostridium symbiosum	cholate	-0.4840960316970655	0.0005654232124181	0.0375655321349738
Faecalibacterium prausnitzii	sphingosine-isomer3	-0.483785671901867	0.0005707503744174	0.0375655321349738
Clostridium symbiosum	N-acetylglutamine	-0.4833819379809788	0.0005777477883944	0.0375655321349738
Eubacterium hallii	C18:1-OH carnitine	-0.4831364016320985	0.0005820409912344	0.0375655321349738
Eubacterium hallii	adrenate	-0.4828569866520263	0.0005869614396089	0.0375655321349738
Clostridium asparagiforme	alpha-glycerophosphate	0.4822527885490983	0.0005977293484573	0.0378098564605589
Faecalibacterium prausnitzii	myristoleate	-0.4800793895219629	0.0006379471185583	0.0398900267236515
Clostridium asparagiforme	chenodeoxycholate	-0.4791654103434404	0.0006555739248387	0.0405263880809423
Roseburia hominis	cadaverine	-0.4769292585086745	0.0007005580943801	0.0426081467689129
Roseburia hominis	serine	-0.4767196192741653	0.000704914192868	0.0426081467689129
Clostridium bolteae	N-acetyalanine	0.4733083647346488	0.0007792964001402	0.0465865100743209
Roseburia hominis	N-acetylhistidine	-0.4723870750943061	0.0008005561805956	0.0473077563202885
Roseburia hominis	methionine	-0.472037676370124	0.0008087539223872	0.0473077563202885
Roseburia hominis	21-deoxycortisol	-0.4714087586665961	0.0008236996355585	0.0476694257174284
Roseburia hominis	C10 carnitine	-0.4695104930881075	0.0008703227230789	0.0498374275110444
